product_1,product_2,lift
flower soil/fertilizer,organic products,24.3625
honey,ready soups,19.98974358974359
nut snack,tea,19.68686868686869
honey,ketchup,18.740384615384617
cooking chocolate,ready soups,17.324444444444445
canned fruit,potato products,16.874458874458874
frozen fruits,tidbits,16.107438016528928
honey,prosecco,15.781376518218625
honey,skin care,14.99230769230769
cooking chocolate,prosecco,13.677192982456141
flower (seeds),honey,13.425947187141217
cleaner,prosecco,13.235993208828523
cocoa drinks,prosecco,12.822368421052632
kitchen towels,rum,12.18125
flower soil/fertilizer,skin care,12.18125
rum,soap,12.18125
jam,prosecco,12.06811145510836
cream,tea,12.030864197530864
cookware,spices,11.75867269984917
canned fruit,cocoa drinks,11.601190476190474
fish,meat spreads,11.521182266009854
cleaner,specialty vegetables,11.43108504398827
frozen fruits,ketchup,11.073863636363637
potato products,pudding powder,11.073863636363637
cocoa drinks,potato products,11.073863636363637
flower soil/fertilizer,potato products,11.073863636363637
bathroom cleaner,canned fruit,10.9187675070028
male cosmetics,organic products,10.535135135135134
cookware,tidbits,10.42245989304813
artif. sweetener,honey,10.339522546419099
brandy,soap,10.257894736842106
cream,rum,10.151041666666666
meat spreads,nut snack,10.124675324675325
abrasive cleaner,meat spreads,10.124675324675325
honey,kitchen towels,9.994871794871795
frozen fruits,male cosmetics,9.577395577395578
jam,rice,9.358943577430972
cooking chocolate,light bulbs,9.28095238095238
house keeping products,prosecco,9.11812865497076
nut snack,spices,9.086247086247086
canned fruit,softener,9.05458768873403
cocoa drinks,tea,9.023148148148149
cookware,photo/film,8.933537051184109
female sanitary products,specialty vegetables,8.85909090909091
abrasive cleaner,soap,8.85909090909091
cooking chocolate,instant coffee,8.809039548022598
flower (seeds),soap,8.726865671641791
flower soil/fertilizer,light bulbs,8.700892857142858
cereals,frozen fruits,8.437229437229437
abrasive cleaner,canned fruit,8.437229437229437
artif. sweetener,cocoa drinks,8.400862068965518
cleaner,cooking chocolate,8.382795698924731
frozen fruits,sauces,8.053719008264464
sauces,specialty vegetables,8.053719008264464
organic products,rice,7.955102040816327
rice,soap,7.955102040816327
artif. sweetener,cookware,7.906693711967546
bathroom cleaner,specialty fat,7.906693711967546
canned fruit,popcorn,7.898682877406281
frozen fruits,house keeping products,7.874747474747475
curd cheese,dental care,7.703557312252964
honey,spices,7.68836291913215
bathroom cleaner,zwieback,7.64313725490196
ketchup,pudding powder,7.61328125
cocoa drinks,ketchup,7.61328125
prosecco,snack products,7.598440545808966
bathroom cleaner,cleaner,7.396584440227703
abrasive cleaner,frozen potato products,7.382575757575758
cream,house keeping products,7.2185185185185174
cereals,spices,7.139194139194139
cereals,honey,7.139194139194139
artif. sweetener,prosecco,7.074410163339384
snack products,syrup,6.874779541446207
brandy,ready soups,6.838596491228071
artif. sweetener,instant coffee,6.8345996493278784
fish,soap,6.720689655172413
artif. sweetener,soap,6.720689655172413
honey,house keeping products,6.663247863247863
female sanitary products,sauces,6.644318181818183
tea,tidbits,6.562289562289563
potato products,tea,6.562289562289563
chocolate marshmallow,organic products,6.496666666666666
house keeping products,tea,6.416460905349793
light bulbs,nut snack,6.327922077922078
cocoa drinks,photo/film,6.327922077922078
cream,liquor,6.307443365695793
female sanitary products,popcorn,6.220212765957447
jam,male cosmetics,6.197138314785374
cereals,ready soups,6.187301587301587
cereals,cooking chocolate,6.187301587301587
abrasive cleaner,fish,6.109717868338558
canned vegetables,rum,6.090625
snack products,soups,6.015432098765432
oil,ready soups,5.987711213517665
cleaner,syrup,5.987711213517664
chewing gum,ready soups,5.973946360153256
frozen fish,honey,5.937547600913938
cat food,tea,5.909898202295863
nuts/prunes,soap,5.906060606060606
organic sausage,zwieback,5.906060606060606
